Extracted Sorting ID 072826,Cage Card 072826,DOB 072826,Sex 072826,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
302,CC-24368-2,5/29/2025,FEMALE,KCN1-YH het,302 (F) | Split breeding pair 1,3,1,X6-041 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 05/29/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 302 (F) Split breeding pair 1 Created 7/13/2026 3:57pm SPLIT-5193 • CC-24368-2 • External ID:,CENSUS,X6-041,11/4/2025,,FEMALE,302,,1,1,YES,7/13/2026 3:57pm,SPLIT-5193,
307,CC-28915-2,6/26/2025,MALE,Kcnt1-YH,508x505 | 307 - YH-het,13,2,X6-041 Species MOUSE # Animals 1 Census 06/16/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 508x505 307 - YH-het Created 7/13/2026 3:57pm SPLIT-6976 • CC-28915-2 • External ID:,CENSUS,X6-041,6/16/2026,,MALE,307,,1,1,YES,7/13/2026 3:57pm,SPLIT-6976,
308,CC-27042-2,6/26/2025,MALE,Kcnt1-YH,508x505 | 308,5,3,X6-041 Species MOUSE # Animals 1 Census 03/23/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 508x505 308 Created 7/13/2026 3:57pm SPLIT-6240 • CC-27042-2 • External ID:,CENSUS,X6-041,3/23/2026,,MALE,308,,1,1,YES,7/13/2026 3:57pm,SPLIT-6240,
313,CC-24369-2,6/26/2025,FEMALE,KCN1-YH het,313 (F) | Split breeding pair 2,3,2,X6-041 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 06/26/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 313 (F) Split breeding pair 2 Created 7/13/2026 3:57pm SPLIT-5194 • CC-24369-2 • External ID:,CENSUS,X6-041,11/4/2025,,FEMALE,313,,1,1,YES,7/13/2026 3:57pm,SPLIT-5194,
317,CC-22535-5,7/20/2025,MALE,Kcnt1-YH,508x505 | 317,1,1,X6-041 Species MOUSE # Animals 1 Census 08/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/20/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 508x505 317 Created 7/13/2026 3:57pm • CC-22535-5 • External ID:,CENSUS,X6-041,8/8/2025,,MALE,317,,1,1,YES,7/13/2026 3:57pm,,
512,CC-28846-2,4/21/2025,MALE,Kcnt1-YH;SST-Cre,512,12,1,X6-041 Species MOUSE # Animals 1 Census 06/12/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;SST-Cre Code DOB 2025-04-21 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 512 Created 7/13/2026 3:57pm SPLIT-6958 • CC-28846-2 • External ID:,CENSUS,X6-041,6/12/2026,,MALE,512,,1,1,YES,7/13/2026 3:57pm,SPLIT-6958,
520,CC-27208-2,9/4/2025,FEMALE,Kcnt1-YH;PV-cre,328x313 | 520,6,1,X6-041 Species MOUSE # Animals 1 Census 04/02/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 520 Created 7/13/2026 3:57pm SPLIT-6317 • CC-27208-2 • External ID:,CENSUS,X6-041,4/2/2026,,FEMALE,520,,1,1,YES,7/13/2026 3:57pm,SPLIT-6317,
521,CC-27510-2,9/4/2025,FEMALE,Kcnt1-YH;PV-cre,328x313 | 521,7,1,X6-041 Species MOUSE # Animals 1 Census 04/16/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 521 Created 7/13/2026 3:57pm SPLIT-6464 • CC-27510-2 • External ID:,CENSUS,X6-041,4/16/2026,,FEMALE,521,,1,1,YES,7/13/2026 3:57pm,SPLIT-6464,
522,CC-23545-4,9/4/2025,FEMALE,Kcnt1-YH;PV-cre,328x313 | 522,1,2,X6-041 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 522 Created 7/13/2026 3:57pm • CC-23545-4 • External ID:,CENSUS,X6-041,9/25/2025,,FEMALE,522,,1,1,YES,7/13/2026 3:57pm,,
523,CC-23546-4,9/4/2025,FEMALE,Kcnt1-YH;PV-cre,328x313 | 523,1,3,X6-041 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 523 Created 7/13/2026 3:57pm • CC-23546-4 • External ID:,CENSUS,X6-041,9/25/2025,,FEMALE,523,,1,1,YES,7/13/2026 3:57pm,,
524,CC-27620-2,9/4/2025,FEMALE,Kcnt1-YH;PV-cre,328x313 | 524,7,2,X6-041 Species MOUSE # Animals 1 Census 04/21/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 524 Created 7/13/2026 3:57pm SPLIT-6515 • CC-27620-2 • External ID:,CENSUS,X6-041,4/21/2026,,FEMALE,524,,1,1,YES,7/13/2026 3:57pm,SPLIT-6515,
537,CC-24052-6,10/1/2025,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,3,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/2025,,FEMALE,537,,3,3,YES,7/14/2026 12:12pm,W-4813,
538,CC-24052-6,10/1/2025,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,3,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/2025,,FEMALE,538,,3,3,YES,7/14/2026 12:12pm,W-4813,
539,CC-28939-2,10/1/2025,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 539,13,3,X6-041 Species MOUSE # Animals 1 Census 06/17/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 539 Created 7/13/2026 3:57pm SPLIT-6985 • CC-28939-2 • External ID:,CENSUS,X6-041,6/17/2026,,FEMALE,539,,1,1,YES,7/13/2026 3:57pm,SPLIT-6985,
540,CC-24052-6,10/1/2025,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,3,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/2025,,FEMALE,540,,3,3,YES,7/14/2026 12:12pm,W-4813,
542,CC-24051-5,10/1/2025,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,2,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/2025,,MALE,542,,4,4,YES,7/13/2026 3:57pm,W-4813,
543,CC-24051-5,10/1/2025,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,2,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/2025,,MALE,543,,4,4,YES,7/13/2026 3:57pm,W-4813,
544,CC-24051-5,10/1/2025,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,2,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/2025,,MALE,544,,4,4,YES,7/13/2026 3:57pm,W-4813,
