Extracted Sorting ID 062226,Cage Card 062226,DOB 062226,Sex 062226,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
302,CC-24368-1,05/29/25,FEMALE,KCN1-YH het,302 (F) | Split breeding pair 1,4,1,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 05/29/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 302 (F) Split breeding pair 1 Created 11/4/2025 2:20pm SPLIT-5193 • CC-24368-1 • External ID:,CENSUS,X0-145,11/04/25,,FEMALE,302,,1,1,YES,11/4/2025 2:20pm,SPLIT-5193,
307,CC-28915-1,6/26/25,MALE,Kcnt1-YH,508x505 | 307 - YH-het,17,2,X0-145 Species MOUSE # Animals 1 Census 06/16/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 - YH-het Created 6/16/2026 3:50pm SPLIT-6976 • CC-28915-1 • External ID:,CENSUS,X0-145,06/16/26,,MALE,307,,1,1,YES,6/16/2026 3:50pm,SPLIT-6976,
308,CC-27042-1,6/26/25,MALE,Kcnt1-YH,508x505 | 308,7,3,X0-145 Species MOUSE # Animals 1 Census 03/23/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 308 Created 3/23/2026 10:53am SPLIT-6240 • CC-27042-1 • External ID:,CENSUS,X0-145,03/23/26,,MALE,308,,1,1,YES,3/23/2026 10:53am,SPLIT-6240,
313,CC-24369-1,06/26/25,FEMALE,KCN1-YH het,313 (F) | Split breeding pair 2,4,2,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 06/26/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 313 (F) Split breeding pair 2 Created 11/4/2025 2:22pm SPLIT-5194 • CC-24369-1 • External ID:,CENSUS,X0-145,11/04/25,,FEMALE,313,,1,1,YES,11/4/2025 2:22pm,SPLIT-5194,
317,CC-22535-4,7/20/2025,MALE,Kcnt1-YH,508x505 | 317,1,1,X0-145 Species MOUSE # Animals 1 Census 08/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/20/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry +19178175852 Notes 508x505 317 Created 6/16/2026 3:53pm • CC-22535-4 • External ID:,CENSUS,X0-145,08/08/25,,MALE,317,,1,1,YES,6/16/2026 3:53pm,,
320,CC-25084-2,07/20/25,FEMALE,Kcnt1-YH(hom),541(M)x320(F),5,2,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/01/25 F DOB 07/20/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);PV-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 541(M)x320(F) Created 3/24/2026 3:02pm • CC-25084-2 • External ID:,BREEDER,X0-145,,03/24/26,FEMALE,320,,2,2,YES,3/24/2026 3:02pm,,
326,CC-27298-1,7/19/2025,FEMALE,Kcnt1-YH,507x503 | 326,9,2,X0-145 Species MOUSE # Animals 1 Census 04/08/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/19/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry +19178175852 Notes 507x503 326 Created 4/8/2026 11:15am SPLIT-6347 • CC-27298-1 • External ID:,CENSUS,X0-145,04/08/26,,FEMALE,326,,1,1,YES,4/8/2026 11:15am,SPLIT-6347,
328,CC-22629-3,07/01/25,MALE,PV-Cre,328 (M) | Split breeding pair 2,1,2,X0-145 Species MOUSE # Animals 1 Census 08/13/25 Sex MALE P.I. Barry J. Strain PV-Cre Code DOB 07/01/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328 (M) Split breeding pair 2 Created 11/4/2025 2:22pm • CC-22629-3 • External ID:,CENSUS,X0-145,08/13/25,,MALE,328,,1,1,YES,11/4/2025 2:22pm,,
329,CC-22630-4,07/01/2025,MALE,SST-Cre,329 (M) | Split breeding pair 1,1,3,X0-145 Species MOUSE # Animals 1 Census 08/13/25 Sex MALE P.I. Barry J. Strain SST-Cre Code DOB 07/01/2025 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 329 (M) Split breeding pair 1 Created 11/4/2025 2:20pm • CC-22630-4 • External ID:,CENSUS,X0-145,08/13/25,,MALE,329,,1,1,YES,11/4/2025 2:20pm,,
510,CC-28450-1,2025-04-21,MALE,Kcnt1-YH;SST-Cre,510,13,3,X0-145 Species MOUSE # Animals 1 Census 05/27/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;SST-Cre Code DOB 2025-04-21 Emergency Contact(s) Rain Younger (971)-678-8621 Source In House Jeremy Barry +19178175852 Notes 510 Created 5/27/2026 2:29pm SPLIT-6843 • CC-28450-1 • External ID:,CENSUS,X0-145,05/27/26,,MALE,510,,1,1,YES,5/27/2026 2:29pm,SPLIT-6843,
512,CC-28846-1,2025-04-21,MALE,Kcnt1-YH;SST-Cre,512,16,1,X0-145 Species MOUSE # Animals 1 Census 06/12/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH;SST-Cre Code DOB 2025-04-21 Emergency Contact(s) Rain Younger (971)-678-8621 Source In House Jeremy Barry +19178175852 Notes 512 Created 6/12/2026 9:38am SPLIT-6958 • CC-28846-1 • External ID:,CENSUS,X0-145,06/12/26,,MALE,512,,1,1,YES,6/12/2026 9:38am,SPLIT-6958,
515,CC-25086-2,08/09/25,FEMALE,Kcnt1-YH(hom),532(M)x515(F),5,3,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 09/14/25 F DOB 08/09/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);SST-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 532(M)x515(F) Created 3/24/2026 3:02pm • CC-25086-2 • External ID:,BREEDER,X0-145,,03/24/26,FEMALE,515,,2,2,YES,3/24/2026 3:02pm,,
520,CC-27208-1,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 520,8,2,X0-145 Species MOUSE # Animals 1 Census 04/02/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 520 Created 4/2/2026 9:32am SPLIT-6317 • CC-27208-1 • External ID:,CENSUS,X0-145,04/02/26,,FEMALE,520,,1,1,YES,4/2/2026 9:32am,SPLIT-6317,
521,CC-27510-1,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 521,10,1,X0-145 Species MOUSE # Animals 1 Census 04/16/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 521 Created 4/16/2026 3:07pm SPLIT-6464 • CC-27510-1 • External ID:,CENSUS,X0-145,04/16/26,,FEMALE,521,,1,1,YES,4/16/2026 3:07pm,SPLIT-6464,
522,CC-23545-3,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 522,2,1,X0-145 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 522 Created 4/16/2026 3:07pm • CC-23545-3 • External ID:,CENSUS,X0-145,09/25/25,,FEMALE,522,,1,1,YES,4/16/2026 3:07pm,,
523,CC-23546-3,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 523,2,2,X0-145 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 523 Created 4/21/2026 8:54am • CC-23546-3 • External ID:,CENSUS,X0-145,09/25/25,,FEMALE,523,,1,1,YES,4/21/2026 8:54am,,
524,CC-27620-1,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 524,10,3,X0-145 Species MOUSE # Animals 1 Census 04/21/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 524 Created 4/21/2026 8:54am SPLIT-6515 • CC-27620-1 • External ID:,CENSUS,X0-145,04/21/26,,FEMALE,524,,1,1,YES,4/21/2026 8:54am,SPLIT-6515,
525,CC-26938-1,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 525,7,2,X0-145 Species MOUSE # Animals 1 Census 03/17/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry (917) 817-5852 Notes 328x313 525 Created 3/17/2026 1:15pm SPLIT-6207 • CC-26938-1 • External ID:,CENSUS,X0-145,03/17/26,,FEMALE,525,,1,1,YES,3/17/2026 1:15pm,SPLIT-6207,
529,CC-27463-1,9/14/2025,F,Kcnt1; SST-Cre,329 (M) x 302 (F) | 529,9,3,X0-145 Species MOUSE # Animals 1 Census 04/14/26 Sex F P.I. Barry J. Strain Kcnt1; SST-Cre Code DOB 9/14/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry Notes 329 (M) x 302 (F) 529 Created 4/14/2026 1:14pm SPLIT-6434 • CC-27463-1 • External ID:,CENSUS,X0-145,04/14/26,,FEMALE,529,,1,1,YES,4/14/2026 1:14pm,SPLIT-6434,
531,CC-23781-7,9/14/2025,F,Kcnt1; SST-Cre,329 (M) x 302 (F) | 531,2,3,X0-145 Species MOUSE # Animals 1 Census 10/06/25 Sex F P.I. Barry J. Strain Kcnt1; SST-Cre Code DOB 9/14/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry Notes 329 (M) x 302 (F) 531 Created 4/14/2026 1:14pm • CC-23781-7 • External ID:,CENSUS,X0-145,10/06/25,,FEMALE,531,,1,1,YES,4/14/2026 1:14pm,,
532,CC-25086-2,09/14/25,MALE,Kcnt1-YH(het);SST-Cre(het),532(M)x515(F),5,3,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 09/14/25 F DOB 08/09/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);SST-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 532(M)x515(F) Created 3/24/2026 3:02pm • CC-25086-2 • External ID:,BREEDER,X0-145,,03/24/26,MALE,532,,2,2,YES,3/24/2026 3:02pm,,
536,CC-24052-4,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 536 | 537 | 538 | 540,3,3,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x313 536 537 538 540 Created 6/17/2026 1:43pm W-4813 • CC-24052-4 • External ID:,CENSUS,X0-145,10/22/25,,FEMALE,536,,4,4,YES,6/17/2026 1:43pm,W-4813,
537,CC-24052-4,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 536 | 537 | 538 | 540,3,3,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x313 536 537 538 540 Created 6/17/2026 1:43pm W-4813 • CC-24052-4 • External ID:,CENSUS,X0-145,10/22/25,,FEMALE,537,,4,4,YES,6/17/2026 1:43pm,W-4813,
538,CC-24052-4,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 536 | 537 | 538 | 540,3,3,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x313 536 537 538 540 Created 6/17/2026 1:43pm W-4813 • CC-24052-4 • External ID:,CENSUS,X0-145,10/22/25,,FEMALE,538,,4,4,YES,6/17/2026 1:43pm,W-4813,
539,CC-28939-1,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 539,17,3,X0-145 Species MOUSE # Animals 1 Census 06/17/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x313 539 Created 6/17/2026 1:43pm SPLIT-6985 • CC-28939-1 • External ID:,CENSUS,X0-145,06/17/26,,FEMALE,539,,1,1,YES,6/17/2026 1:43pm,SPLIT-6985,
540,CC-24052-4,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 536 | 537 | 538 | 540,3,3,X0-145 Species MOUSE # Animals 4 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 328x313 536 537 538 540 Created 6/17/2026 1:43pm W-4813 • CC-24052-4 • External ID:,CENSUS,X0-145,10/22/25,,FEMALE,540,,4,4,YES,6/17/2026 1:43pm,W-4813,
541,CC-25084-2,10/01/25,MALE,Kcnt1-YH(het);PV-Cre(het),541(M)x320(F),5,2,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/01/25 F DOB 07/20/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);PV-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 541(M)x320(F) Created 3/24/2026 3:02pm • CC-25084-2 • External ID:,BREEDER,X0-145,,03/24/26,MALE,541,,2,2,YES,3/24/2026 3:02pm,,
