Row,Region
1,CA1 SP
2,CA1 SP
3,CA1 SP
4,CA1 SP
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1
10,CA1
11,CA1
12,CA1
13,CA1
14,CA1
15,CA1 SLM
16,CA1 SLM
17,CA1 SLM
18,CA1 SLM
19,CA1 SLM
20,CA1 SLM
21,DG OML1
22,DG OML1
23,DG OML1
24,DG OML1
25,DG OML1
26,DG MML1
27,DG MML1
28,DG MML1
29,DG MML1
30,DG MML1
31,DG GCL1
32,DG GCL1
33,DG GCL1
34,DG GCL1
35,HIL
36,HIL
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,HIL
44,HIL
45,HIL
46,HIL
47,HIL
48,HIL
49,DG GCL2
50,DG GCL2
51,DG GCL2
52,DG GCL2
53,DG GCL2
54,DG GCL2
55,DG MML2
56,DG MML2
57,DG MML2
58,DG MML2
59,DG MML2
60,DG MML2
61,DG OML2
62,DG OML2
63,DG OML2
64,DG OML2
