Row,Region
1,CA1
2,CA1
3,CA1
4,CA1
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1 SLM
10,CA1 SLM
11,CA1 SLM
12,CA1 SLM
13,DG OML1
14,DG OML1
15,DG OML1
16,DG OML1
17,DG MML1
18,DG MML1
19,DG MML1
20,DG MML1
21,DG MML1
22,DG MML1
23,DG GCL1
24,DG GCL1
25,DG GCL1
26,DG GCL1
27,HIL
28,HIL
29,HIL
30,HIL
31,HIL
32,HIL
33,HIL
34,HIL
35,HIL
36,HIL
37,HIL
38,HIL
39,DG GCL2
40,DG GCL2
41,DG GCL2
42,DG GCL2
43,DG GCL2
44,DG GCL2
45,DG MML2
46,DG MML2
47,DG MML2
48,DG MML2
49,DG OML2
50,DG OML2
51,DG OML2
52,DG OML2
53,DG OML2
54,DG
55,DG
56,DG
57,DG
58,DG
59,DG
60,DG
61,DG
62,DG
63,DG
64,DG
